udi,product_id,product_variant,air_temperature_k,process_temperature_k,temp_difference_k,rotational_speed_rpm,torque_nm,power_kw,tool_wear_min,overstrain_index,machine_failure,operational_status,failure_type,twf,hdf,pwf,osf,rnf
2748,L49927,Low Variant (L),299.70,309.20,9.50,1616,31.60,5.348,175,5530.00,0,Healthy,No Failure,0,0,0,0,0
2749,L49928,Low Variant (L),299.70,309.20,9.50,1631,35.10,5.995,177,6212.70,0,Healthy,No Failure,0,0,0,0,0
2750,M17609,Medium Variant (M),299.70,309.20,9.50,1685,28.90,5.099,179,5173.10,1,Failed,Unspecified Failure,0,0,0,0,0
2751,H32164,High Variant (H),299.70,309.20,9.50,1456,40.60,6.190,182,7389.20,0,Healthy,No Failure,0,0,0,0,0
2752,L49931,Low Variant (L),299.70,309.10,9.40,1417,50.10,7.434,187,9368.70,0,Healthy,No Failure,0,0,0,0,0
2753,M17612,Medium Variant (M),299.70,309.10,9.40,1851,24.70,4.788,189,4668.30,0,Healthy,No Failure,0,0,0,0,0
2754,L49933,Low Variant (L),299.70,309.10,9.40,1715,27.80,4.993,192,5337.60,0,Healthy,No Failure,0,0,0,0,0
2755,H32168,High Variant (H),299.60,309.10,9.50,1630,32.30,5.513,194,6266.20,0,Healthy,No Failure,0,0,0,0,0
2756,L49935,Low Variant (L),299.70,309.20,9.50,1478,38.80,6.005,199,7721.20,0,Healthy,No Failure,0,0,0,0,0
2757,L49936,Low Variant (L),299.70,309.20,9.50,1781,29.60,5.521,201,5949.60,0,Healthy,No Failure,0,0,0,0,0
2758,L49937,Low Variant (L),299.80,309.20,9.40,1439,36.10,5.440,203,7328.30,0,Healthy,No Failure,0,0,0,0,0
2759,M17618,Medium Variant (M),299.70,309.20,9.50,1412,45.30,6.698,205,9286.50,0,Healthy,No Failure,0,0,0,0,0
2760,L49939,Low Variant (L),299.70,309.10,9.40,1483,41.10,6.383,208,8548.80,0,Healthy,No Failure,0,0,0,0,0
2761,L49940,Low Variant (L),299.80,309.20,9.40,1400,42.60,6.245,210,8946.00,0,Healthy,No Failure,0,0,0,0,0
2762,L49941,Low Variant (L),299.80,309.30,9.50,1299,65.10,8.856,212,13801.20,1,Failed,Overstrain,0,0,0,1,0
2763,L49942,Low Variant (L),299.80,309.20,9.40,1479,44.40,6.877,214,9501.60,0,Healthy,No Failure,0,0,0,0,0
2764,L49943,Low Variant (L),299.80,309.20,9.40,1491,47.50,7.417,216,10260.00,0,Healthy,No Failure,0,0,0,0,0
2765,M17624,Medium Variant (M),299.90,309.30,9.40,1389,52.80,7.680,0,0.00,0,Healthy,No Failure,0,0,0,0,0
2766,M17625,Medium Variant (M),299.90,309.40,9.50,1399,54.80,8.028,3,164.40,0,Healthy,No Failure,0,0,0,0,0
2767,M17626,Medium Variant (M),299.90,309.40,9.50,1889,26.00,5.143,6,156.00,0,Healthy,No Failure,0,0,0,0,0
2768,L49947,Low Variant (L),300.00,309.50,9.50,1925,21.90,4.415,9,197.10,0,Healthy,No Failure,0,0,0,0,0
2769,L49948,Low Variant (L),300.00,309.50,9.50,1675,30.20,5.297,11,332.20,0,Healthy,No Failure,0,0,0,0,0
2770,M17629,Medium Variant (M),300.00,309.60,9.60,1477,38.10,5.893,13,495.30,0,Healthy,No Failure,0,0,0,0,0
2771,L49950,Low Variant (L),300.00,309.60,9.60,1364,45.90,6.556,16,734.40,0,Healthy,No Failure,0,0,0,0,0
2772,L49951,Low Variant (L),299.90,309.50,9.60,1451,39.40,5.987,18,709.20,0,Healthy,No Failure,0,0,0,0,0
2773,L49952,Low Variant (L),299.90,309.40,9.50,1467,41.20,6.329,20,824.00,0,Healthy,No Failure,0,0,0,0,0
2774,L49953,Low Variant (L),299.90,309.40,9.50,1858,22.50,4.378,22,495.00,0,Healthy,No Failure,0,0,0,0,0
2775,L49954,Low Variant (L),300.10,309.40,9.30,1559,39.70,6.481,24,952.80,0,Healthy,No Failure,0,0,0,0,0
2776,L49955,Low Variant (L),300.10,309.40,9.30,1560,47.70,7.792,26,1240.20,0,Healthy,No Failure,0,0,0,0,0
2777,L49956,Low Variant (L),300.10,309.40,9.30,1453,47.60,7.243,28,1332.80,0,Healthy,No Failure,0,0,0,0,0
2778,L49957,Low Variant (L),300.10,309.40,9.30,1464,41.70,6.393,30,1251.00,0,Healthy,No Failure,0,0,0,0,0
2779,L49958,Low Variant (L),300.00,309.40,9.40,1308,50.20,6.876,32,1606.40,0,Healthy,No Failure,0,0,0,0,0
2780,L49959,Low Variant (L),300.10,309.50,9.40,1353,50.90,7.212,34,1730.60,0,Healthy,No Failure,0,0,0,0,0
2781,M17640,Medium Variant (M),300.20,309.60,9.40,1556,35.80,5.833,36,1288.80,0,Healthy,No Failure,0,0,0,0,0
2782,L49961,Low Variant (L),300.20,309.50,9.30,2183,17.80,4.069,39,694.20,0,Healthy,No Failure,0,0,0,0,0
2783,M17642,Medium Variant (M),300.20,309.60,9.40,1491,41.80,6.527,41,1713.80,0,Healthy,No Failure,0,0,0,0,0
2784,M17643,Medium Variant (M),300.20,309.60,9.40,1528,35.10,5.616,44,1544.40,0,Healthy,No Failure,0,0,0,0,0
2785,L49964,Low Variant (L),300.20,309.60,9.40,1430,52.70,7.892,47,2476.90,0,Healthy,No Failure,0,0,0,0,0
2786,L49965,Low Variant (L),300.20,309.50,9.30,1495,32.60,5.104,49,1597.40,0,Healthy,No Failure,0,0,0,0,0
2787,M17646,Medium Variant (M),300.20,309.50,9.30,1630,28.30,4.831,51,1443.30,0,Healthy,No Failure,0,0,0,0,0
2788,M17647,Medium Variant (M),300.30,309.60,9.30,1524,38.40,6.128,54,2073.60,0,Healthy,No Failure,0,0,0,0,0
2789,L49968,Low Variant (L),300.30,309.60,9.30,1326,52.40,7.276,57,2986.80,0,Healthy,No Failure,0,0,0,0,0
2790,H32203,High Variant (H),300.30,309.50,9.20,1438,44.00,6.626,59,2596.00,0,Healthy,No Failure,0,0,0,0,0
2791,L49970,Low Variant (L),300.40,309.60,9.20,1356,45.90,6.518,64,2937.60,0,Healthy,No Failure,0,0,0,0,0
2792,H32205,High Variant (H),300.40,309.60,9.20,1416,43.30,6.421,66,2857.80,0,Healthy,No Failure,0,0,0,0,0
2793,L49972,Low Variant (L),300.40,309.70,9.30,1584,32.60,5.408,71,2314.60,0,Healthy,No Failure,0,0,0,0,0
2794,L49973,Low Variant (L),300.30,309.60,9.30,1597,31.80,5.318,73,2321.40,0,Healthy,No Failure,0,0,0,0,0
2795,L49974,Low Variant (L),300.40,309.60,9.20,1553,43.90,7.139,75,3292.50,0,Healthy,No Failure,0,0,0,0,0
2796,M17655,Medium Variant (M),300.30,309.50,9.20,1405,49.40,7.268,77,3803.80,0,Healthy,No Failure,0,0,0,0,0
2797,L49976,Low Variant (L),300.20,309.50,9.30,1539,35.30,5.689,80,2824.00,0,Healthy,No Failure,0,0,0,0,0
2798,M17657,Medium Variant (M),300.30,309.60,9.30,1398,53.70,7.862,82,4403.40,0,Healthy,No Failure,0,0,0,0,0
2799,L49978,Low Variant (L),300.30,309.60,9.30,1568,39.60,6.502,85,3366.00,0,Healthy,No Failure,0,0,0,0,0
2800,L49979,Low Variant (L),300.30,309.60,9.30,1404,44.60,6.557,87,3880.20,0,Healthy,No Failure,0,0,0,0,0
2801,M17660,Medium Variant (M),300.20,309.50,9.30,1500,45.70,7.179,89,4067.30,0,Healthy,No Failure,0,0,0,0,0
2802,M17661,Medium Variant (M),300.20,309.50,9.30,1642,28.80,4.952,92,2649.60,0,Healthy,No Failure,0,0,0,0,0
2803,M17662,Medium Variant (M),300.30,309.60,9.30,1509,46.60,7.364,95,4427.00,0,Healthy,No Failure,0,0,0,0,0
2804,L49983,Low Variant (L),300.20,309.50,9.30,1343,50.20,7.060,98,4919.60,0,Healthy,No Failure,0,0,0,0,0
2805,L49984,Low Variant (L),300.10,309.50,9.40,1450,40.10,6.089,100,4010.00,0,Healthy,No Failure,0,0,0,0,0
2806,L49985,Low Variant (L),300.00,309.40,9.40,1460,43.50,6.651,102,4437.00,0,Healthy,No Failure,0,0,0,0,0
2807,L49986,Low Variant (L),300.00,309.30,9.30,1364,41.20,5.885,104,4284.80,0,Healthy,No Failure,0,0,0,0,0
2808,M17667,Medium Variant (M),299.90,309.30,9.40,1452,41.90,6.371,106,4441.40,0,Healthy,No Failure,0,0,0,0,0
2809,L49988,Low Variant (L),299.90,309.30,9.40,1471,41.80,6.439,109,4556.20,0,Healthy,No Failure,0,0,0,0,0
2810,L49989,Low Variant (L),299.90,309.20,9.30,1598,34.60,5.790,111,3840.60,0,Healthy,No Failure,0,0,0,0,0
2811,L49990,Low Variant (L),299.80,309.10,9.30,1772,24.80,4.602,113,2802.40,0,Healthy,No Failure,0,0,0,0,0
2812,L49991,Low Variant (L),299.90,309.20,9.30,1761,25.60,4.721,115,2944.00,0,Healthy,No Failure,0,0,0,0,0
2813,M17672,Medium Variant (M),300.00,309.30,9.30,1413,40.70,6.022,117,4761.90,0,Healthy,No Failure,0,0,0,0,0
2814,L49993,Low Variant (L),300.00,309.30,9.30,1887,22.60,4.466,120,2712.00,0,Healthy,No Failure,0,0,0,0,0
2815,L49994,Low Variant (L),300.00,309.30,9.30,1395,56.50,8.254,122,6893.00,0,Healthy,No Failure,0,0,0,0,0
2816,M17675,Medium Variant (M),300.10,309.40,9.30,1569,31.60,5.192,124,3918.40,0,Healthy,No Failure,0,0,0,0,0
2817,L49996,Low Variant (L),300.10,309.40,9.30,1434,47.30,7.103,127,6007.10,0,Healthy,No Failure,0,0,0,0,0
2818,L49997,Low Variant (L),300.20,309.50,9.30,1417,41.10,6.099,129,5301.90,0,Healthy,No Failure,0,0,0,0,0
2819,L49998,Low Variant (L),300.20,309.50,9.30,1729,28.40,5.142,131,3720.40,0,Healthy,No Failure,0,0,0,0,0
2820,L49999,Low Variant (L),300.20,309.50,9.30,1356,51.10,7.256,133,6796.30,0,Healthy,No Failure,0,0,0,0,0
2821,L50000,Low Variant (L),300.20,309.50,9.30,1436,48.80,7.338,135,6588.00,0,Healthy,No Failure,0,0,0,0,0
2822,M17681,Medium Variant (M),300.30,309.60,9.30,1419,42.50,6.315,137,5822.50,0,Healthy,No Failure,0,0,0,0,0
2823,L50002,Low Variant (L),300.30,309.60,9.30,1593,38.10,6.356,140,5334.00,0,Healthy,No Failure,0,0,0,0,0
2824,M17683,Medium Variant (M),300.30,309.50,9.20,1320,62.20,8.598,142,8832.40,0,Healthy,No Failure,0,0,0,0,0
2825,M17684,Medium Variant (M),300.30,309.50,9.20,1448,42.40,6.429,145,6148.00,0,Healthy,No Failure,0,0,0,0,0
2826,L50005,Low Variant (L),300.30,309.40,9.10,1470,33.50,5.157,148,4958.00,0,Healthy,No Failure,0,0,0,0,0
2827,M17686,Medium Variant (M),300.30,309.40,9.10,1612,33.10,5.588,150,4965.00,0,Healthy,No Failure,0,0,0,0,0
2828,L50007,Low Variant (L),300.40,309.40,9.00,1412,51.60,7.630,153,7894.80,0,Healthy,No Failure,0,0,0,0,0
2829,M17688,Medium Variant (M),300.40,309.40,9.00,1875,23.90,4.693,155,3704.50,0,Healthy,No Failure,0,0,0,0,0
2830,L50009,Low Variant (L),300.30,309.30,9.00,1612,36.00,6.077,158,5688.00,0,Healthy,No Failure,0,0,0,0,0
2831,M17690,Medium Variant (M),300.40,309.30,8.90,1411,41.60,6.147,160,6656.00,0,Healthy,No Failure,0,0,0,0,0
2832,M17691,Medium Variant (M),300.30,309.20,8.90,1490,47.90,7.474,163,7807.70,0,Healthy,No Failure,0,0,0,0,0
2833,M17692,Medium Variant (M),300.40,309.30,8.90,1467,40.30,6.191,166,6689.80,0,Healthy,No Failure,0,0,0,0,0
2834,L50013,Low Variant (L),300.30,309.20,8.90,1807,26.40,4.996,169,4461.60,0,Healthy,No Failure,0,0,0,0,0
2835,L50014,Low Variant (L),300.30,309.10,8.80,1368,46.00,6.590,171,7866.00,0,Healthy,No Failure,0,0,0,0,0
2836,L50015,Low Variant (L),300.30,309.20,8.90,1572,32.00,5.268,173,5536.00,0,Healthy,No Failure,0,0,0,0,0
2837,M17696,Medium Variant (M),300.30,309.10,8.80,1458,44.30,6.764,175,7752.50,0,Healthy,No Failure,0,0,0,0,0
2838,L50017,Low Variant (L),300.30,309.10,8.80,1699,30.30,5.391,178,5393.40,0,Healthy,No Failure,0,0,0,0,0
2839,L50018,Low Variant (L),300.30,309.30,9.00,1478,39.50,6.114,180,7110.00,0,Healthy,No Failure,0,0,0,0,0
2840,M17699,Medium Variant (M),300.40,309.40,9.00,1362,42.10,6.005,182,7662.20,0,Healthy,No Failure,0,0,0,0,0
2841,H32254,High Variant (H),300.40,309.40,9.00,1487,38.90,6.057,185,7196.50,0,Healthy,No Failure,0,0,0,0,0
2842,L50021,Low Variant (L),300.30,309.40,9.10,1705,29.40,5.249,190,5586.00,0,Healthy,No Failure,0,0,0,0,0
2843,L50022,Low Variant (L),300.30,309.30,9.00,1345,53.50,7.535,192,10272.00,0,Healthy,No Failure,0,0,0,0,0
2844,L50023,Low Variant (L),300.30,309.20,8.90,1532,40.20,6.449,194,7798.80,0,Healthy,No Failure,0,0,0,0,0
2845,L50024,Low Variant (L),300.30,309.20,8.90,1650,35.20,6.082,196,6899.20,0,Healthy,No Failure,0,0,0,0,0
2846,L50025,Low Variant (L),300.30,309.20,8.90,1398,54.40,7.964,198,10771.20,0,Healthy,No Failure,0,0,0,0,0
2847,L50026,Low Variant (L),300.30,309.20,8.90,1412,44.80,6.624,200,8960.00,0,Healthy,No Failure,0,0,0,0,0
2848,L50027,Low Variant (L),300.40,309.30,8.90,1525,39.60,6.324,202,7999.20,0,Healthy,No Failure,0,0,0,0,0
2849,M17708,Medium Variant (M),300.30,309.30,9.00,1391,57.90,8.434,204,11811.60,0,Healthy,No Failure,0,0,0,0,0
2850,L50029,Low Variant (L),300.40,309.30,8.90,1766,28.20,5.215,207,5837.40,0,Healthy,No Failure,0,0,0,0,0
2851,L50030,Low Variant (L),300.40,309.30,8.90,1671,35.00,6.125,209,7315.00,0,Healthy,No Failure,0,0,0,0,0
2852,L50031,Low Variant (L),300.50,309.30,8.80,1373,48.80,7.016,211,10296.80,0,Healthy,No Failure,0,0,0,0,0
2853,M17712,Medium Variant (M),300.50,309.40,8.90,1347,50.10,7.067,213,10671.30,0,Healthy,No Failure,0,0,0,0,0
2854,M17713,Medium Variant (M),300.50,309.30,8.80,1539,39.10,6.302,216,8445.60,0,Healthy,No Failure,0,0,0,0,0
2855,L50034,Low Variant (L),300.50,309.30,8.80,1470,40.80,6.281,219,8935.20,0,Healthy,No Failure,0,0,0,0,0
2856,L50035,Low Variant (L),300.50,309.30,8.80,1528,37.00,5.920,221,8177.00,0,Healthy,No Failure,0,0,0,0,0
2857,H32270,High Variant (H),300.50,309.30,8.80,1471,45.20,6.963,223,10079.60,0,Healthy,No Failure,0,0,0,0,0
2858,M17717,Medium Variant (M),300.40,309.20,8.80,1528,37.20,5.952,228,8481.60,0,Healthy,No Failure,0,0,0,0,0
2859,L50038,Low Variant (L),300.50,309.30,8.80,1417,51.50,7.642,231,11896.50,1,Failed,Overstrain,0,0,0,1,0
2860,L50039,Low Variant (L),300.60,309.40,8.80,1549,43.40,7.040,233,10112.20,0,Healthy,No Failure,0,0,0,0,0
2861,H32274,High Variant (H),300.60,309.40,8.80,1463,49.20,7.538,235,11562.00,0,Healthy,No Failure,0,0,0,0,0
2862,L50041,Low Variant (L),300.70,309.50,8.80,1479,43.60,6.753,240,10464.00,0,Healthy,No Failure,0,0,0,0,0
2863,L50042,Low Variant (L),300.60,309.50,8.90,1867,23.00,4.497,242,5566.00,0,Healthy,No Failure,0,0,0,0,0
2864,L50043,Low Variant (L),300.60,309.40,8.80,1471,44.10,6.793,244,10760.40,0,Healthy,No Failure,0,0,0,0,0
2865,H32278,High Variant (H),300.60,309.40,8.80,1380,47.60,6.879,246,11709.60,1,Failed,Tool Wear,1,0,0,0,0
2866,H32279,High Variant (H),300.70,309.70,9.00,1623,32.70,5.558,0,0.00,0,Healthy,No Failure,0,0,0,0,0
2867,L50046,Low Variant (L),300.80,309.70,8.90,1997,20.70,4.329,5,103.50,0,Healthy,No Failure,0,0,0,0,0
2868,H32281,High Variant (H),300.70,309.60,8.90,1390,48.50,7.060,7,339.50,0,Healthy,No Failure,0,0,0,0,0
2869,L50048,Low Variant (L),300.80,309.70,8.90,1418,46.60,6.920,12,559.20,0,Healthy,No Failure,0,0,0,0,0
2870,L50049,Low Variant (L),300.80,309.70,8.90,1519,35.80,5.695,14,501.20,0,Healthy,No Failure,0,0,0,0,0
2871,M17730,Medium Variant (M),300.80,309.70,8.90,1519,39.70,6.315,16,635.20,0,Healthy,No Failure,0,0,0,0,0
2872,M17731,Medium Variant (M),300.70,309.60,8.90,1536,37.20,5.984,19,706.80,0,Healthy,No Failure,0,0,0,0,0
2873,L50052,Low Variant (L),300.80,309.60,8.80,1680,28.70,5.049,22,631.40,0,Healthy,No Failure,0,0,0,0,0
2874,H32287,High Variant (H),300.60,309.40,8.80,1555,37.90,6.172,24,909.60,0,Healthy,No Failure,0,0,0,0,0
2875,L50054,Low Variant (L),300.60,309.50,8.90,1471,49.60,7.641,29,1438.40,0,Healthy,No Failure,0,0,0,0,0
2876,M17735,Medium Variant (M),300.50,309.40,8.90,1877,23.80,4.678,31,737.80,0,Healthy,No Failure,0,0,0,0,0
2877,M17736,Medium Variant (M),300.50,309.30,8.80,1578,30.50,5.040,34,1037.00,0,Healthy,No Failure,0,0,0,0,0
2878,M17737,Medium Variant (M),300.50,309.40,8.90,1655,32.10,5.563,37,1187.70,0,Healthy,No Failure,0,0,0,0,0
2879,H32292,High Variant (H),300.50,309.40,8.90,1502,34.30,5.395,40,1372.00,0,Healthy,No Failure,0,0,0,0,0
2880,M17739,Medium Variant (M),300.60,309.40,8.80,1367,63.20,9.047,45,2844.00,1,Failed,Power Failure,0,0,1,0,0
2881,L50060,Low Variant (L),300.70,309.50,8.80,1541,37.20,6.003,48,1785.60,0,Healthy,No Failure,0,0,0,0,0
2882,M17741,Medium Variant (M),300.60,309.60,9.00,1588,37.00,6.153,50,1850.00,0,Healthy,No Failure,0,0,0,0,0
2883,L50062,Low Variant (L),300.60,309.60,9.00,1684,32.80,5.784,53,1738.40,0,Healthy,No Failure,0,0,0,0,0
2884,L50063,Low Variant (L),300.60,309.50,8.90,1437,40.00,6.019,55,2200.00,0,Healthy,No Failure,0,0,0,0,0
2885,L50064,Low Variant (L),300.60,309.60,9.00,1409,42.40,6.256,57,2416.80,0,Healthy,No Failure,0,0,0,0,0
2886,M17745,Medium Variant (M),300.50,309.50,9.00,1320,49.90,6.898,59,2944.10,0,Healthy,No Failure,0,0,0,0,0
2887,H32300,High Variant (H),300.50,309.50,9.00,1635,34.20,5.856,62,2120.40,0,Healthy,No Failure,0,0,0,0,0
2888,M17747,Medium Variant (M),300.50,309.50,9.00,1691,27.60,4.887,67,1849.20,0,Healthy,No Failure,0,0,0,0,0
2889,M17748,Medium Variant (M),300.60,309.60,9.00,1365,50.00,7.147,70,3500.00,0,Healthy,No Failure,0,0,0,0,0
2890,M17749,Medium Variant (M),300.70,309.70,9.00,1523,38.20,6.092,73,2788.60,0,Healthy,No Failure,0,0,0,0,0
2891,L50070,Low Variant (L),300.60,309.70,9.10,1593,32.40,5.405,76,2462.40,0,Healthy,No Failure,0,0,0,0,0
2892,L50071,Low Variant (L),300.60,309.60,9.00,1682,30.70,5.407,78,2394.60,0,Healthy,No Failure,0,0,0,0,0
2893,L50072,Low Variant (L),300.70,309.60,8.90,1329,54.30,7.557,80,4344.00,0,Healthy,No Failure,0,0,0,0,0
2894,M17753,Medium Variant (M),300.70,309.60,8.90,1568,35.20,5.780,82,2886.40,0,Healthy,No Failure,0,0,0,0,0
2895,L50074,Low Variant (L),300.70,309.60,8.90,1733,24.80,4.501,85,2108.00,0,Healthy,No Failure,0,0,0,0,0
2896,M17755,Medium Variant (M),300.70,309.60,8.90,1473,48.10,7.420,87,4184.70,0,Healthy,No Failure,0,0,0,0,0
2897,M17756,Medium Variant (M),300.70,309.50,8.80,1633,31.30,5.353,90,2817.00,0,Healthy,No Failure,0,0,0,0,0
2898,M17757,Medium Variant (M),300.60,309.50,8.90,1530,40.20,6.441,93,3738.60,0,Healthy,No Failure,0,0,0,0,0
2899,M17758,Medium Variant (M),300.60,309.50,8.90,1550,40.20,6.525,96,3859.20,0,Healthy,No Failure,0,0,0,0,0
2900,L50079,Low Variant (L),300.60,309.40,8.80,1410,40.60,5.995,99,4019.40,0,Healthy,No Failure,0,0,0,0,0
2901,L50080,Low Variant (L),300.50,309.30,8.80,1574,33.50,5.522,101,3383.50,0,Healthy,No Failure,0,0,0,0,0
2902,L50081,Low Variant (L),300.60,309.40,8.80,1425,40.30,6.014,103,4150.90,0,Healthy,No Failure,0,0,0,0,0
2903,M17762,Medium Variant (M),300.60,309.40,8.80,1541,35.20,5.680,105,3696.00,0,Healthy,No Failure,0,0,0,0,0
2904,M17763,Medium Variant (M),300.70,309.50,8.80,1733,26.70,4.845,108,2883.60,0,Healthy,No Failure,0,0,0,0,0
2905,L50084,Low Variant (L),300.60,309.40,8.80,2496,13.50,3.529,111,1498.50,0,Healthy,No Failure,0,0,0,0,0
2906,L50085,Low Variant (L),300.60,309.40,8.80,1552,36.40,5.916,113,4113.20,0,Healthy,No Failure,0,0,0,0,0
2907,L50086,Low Variant (L),300.60,309.30,8.70,1409,38.70,5.710,115,4450.50,0,Healthy,No Failure,0,0,0,0,0
2908,M17767,Medium Variant (M),300.60,309.40,8.80,1581,35.70,5.911,117,4176.90,0,Healthy,No Failure,0,0,0,0,0
2909,L50088,Low Variant (L),300.70,309.50,8.80,1251,59.90,7.847,120,7188.00,0,Healthy,No Failure,0,0,0,0,0
2910,L50089,Low Variant (L),300.70,309.60,8.90,1500,44.10,6.927,122,5380.20,0,Healthy,No Failure,0,0,0,0,0
2911,L50090,Low Variant (L),300.60,309.50,8.90,1576,38.80,6.403,124,4811.20,0,Healthy,No Failure,0,0,0,0,0
2912,M17771,Medium Variant (M),300.70,309.50,8.80,1352,44.00,6.230,126,5544.00,0,Healthy,No Failure,0,0,0,0,0
2913,L50092,Low Variant (L),300.70,309.60,8.90,1661,30.30,5.270,129,3908.70,0,Healthy,No Failure,0,0,0,0,0
2914,L50093,Low Variant (L),300.70,309.60,8.90,1541,34.60,5.584,131,4532.60,0,Healthy,No Failure,0,0,0,0,0
2915,H32328,High Variant (H),300.60,309.60,9.00,1888,20.50,4.053,133,2726.50,0,Healthy,No Failure,0,0,0,0,0
2916,L50095,Low Variant (L),300.50,309.50,9.00,1255,62.10,8.161,138,8569.80,0,Healthy,No Failure,0,0,0,0,0
2917,L50096,Low Variant (L),300.60,309.60,9.00,1411,41.60,6.147,140,5824.00,0,Healthy,No Failure,0,0,0,0,0
2918,L50097,Low Variant (L),300.60,309.50,8.90,1516,39.00,6.191,142,5538.00,0,Healthy,No Failure,0,0,0,0,0
2919,M17778,Medium Variant (M),300.60,309.50,8.90,1492,34.00,5.312,144,4896.00,0,Healthy,No Failure,0,0,0,0,0
2920,L50099,Low Variant (L),300.60,309.60,9.00,1726,30.00,5.422,147,4410.00,0,Healthy,No Failure,0,0,0,0,0
2921,L50100,Low Variant (L),300.70,309.70,9.00,1598,33.70,5.639,149,5021.30,0,Healthy,No Failure,0,0,0,0,0
2922,L50101,Low Variant (L),300.80,309.80,9.00,1657,31.10,5.396,151,4696.10,0,Healthy,No Failure,0,0,0,0,0
2923,L50102,Low Variant (L),300.80,309.70,8.90,1481,38.10,5.909,153,5829.30,0,Healthy,No Failure,0,0,0,0,0
2924,M17783,Medium Variant (M),300.70,309.70,9.00,1397,51.30,7.505,155,7951.50,0,Healthy,No Failure,0,0,0,0,0
2925,L50104,Low Variant (L),300.80,309.70,8.90,1461,44.30,6.778,158,6999.40,0,Healthy,No Failure,0,0,0,0,0
2926,M17785,Medium Variant (M),300.70,309.60,8.90,1388,51.10,7.427,160,8176.00,0,Healthy,No Failure,0,0,0,0,0
2927,L50106,Low Variant (L),300.70,309.70,9.00,1507,52.40,8.269,163,8541.20,0,Healthy,No Failure,0,0,0,0,0
2928,M17787,Medium Variant (M),300.70,309.60,8.90,1421,49.80,7.411,165,8217.00,0,Healthy,No Failure,0,0,0,0,0
2929,M17788,Medium Variant (M),300.80,309.70,8.90,1258,54.90,7.232,168,9223.20,0,Healthy,No Failure,0,0,0,0,0
2930,M17789,Medium Variant (M),300.80,309.70,8.90,1482,39.00,6.053,171,6669.00,0,Healthy,No Failure,0,0,0,0,0
2931,H32344,High Variant (H),300.70,309.60,8.90,1403,51.30,7.537,174,8926.20,0,Healthy,No Failure,0,0,0,0,0
2932,L50111,Low Variant (L),300.80,309.70,8.90,1373,45.40,6.528,179,8126.60,0,Healthy,No Failure,0,0,0,0,0
2933,L50112,Low Variant (L),300.90,309.70,8.80,1460,42.10,6.437,181,7620.10,0,Healthy,No Failure,0,0,0,0,0
2934,M17793,Medium Variant (M),300.80,309.70,8.90,1751,27.90,5.116,183,5105.70,0,Healthy,No Failure,0,0,0,0,0
2935,M17794,Medium Variant (M),300.80,309.60,8.80,1546,42.30,6.848,186,7867.80,0,Healthy,No Failure,0,0,0,0,0
2936,M17795,Medium Variant (M),300.80,309.70,8.90,1680,28.20,4.961,189,5329.80,0,Healthy,No Failure,0,0,0,0,0
2937,M17796,Medium Variant (M),300.90,309.70,8.80,1394,48.80,7.124,192,9369.60,0,Healthy,No Failure,0,0,0,0,0
2938,L50117,Low Variant (L),300.70,309.60,8.90,1810,26.00,4.928,195,5070.00,0,Healthy,No Failure,0,0,0,0,0
2939,L50118,Low Variant (L),300.70,309.50,8.80,1479,34.50,5.343,197,6796.50,0,Healthy,No Failure,0,0,0,0,0
2940,L50119,Low Variant (L),300.90,309.70,8.80,1431,41.40,6.204,199,8238.60,0,Healthy,No Failure,0,0,0,0,0
2941,L50120,Low Variant (L),300.90,309.70,8.80,2355,14.40,3.551,201,2894.40,0,Healthy,No Failure,0,0,0,0,0
2942,M17801,Medium Variant (M),300.70,309.60,8.90,1996,19.80,4.139,203,4019.40,1,Failed,Tool Wear,1,0,0,0,0
2943,L50122,Low Variant (L),300.70,309.50,8.80,1461,49.90,7.634,0,0.00,0,Healthy,No Failure,0,0,0,0,0
2944,H32357,High Variant (H),300.70,309.50,8.80,2007,19.70,4.140,2,39.40,0,Healthy,No Failure,0,0,0,0,0
2945,L50124,Low Variant (L),300.70,309.60,8.90,1505,34.90,5.500,7,244.30,0,Healthy,No Failure,0,0,0,0,0
2946,H32359,High Variant (H),300.70,309.60,8.90,1925,20.50,4.133,9,184.50,0,Healthy,No Failure,0,0,0,0,0
2947,M17806,Medium Variant (M),300.70,309.50,8.80,1622,30.50,5.181,14,427.00,0,Healthy,No Failure,0,0,0,0,0
2948,L50127,Low Variant (L),300.70,309.50,8.80,1592,29.00,4.835,17,493.00,0,Healthy,No Failure,0,0,0,0,0
2949,L50128,Low Variant (L),300.70,309.50,8.80,1850,24.50,4.746,19,465.50,0,Healthy,No Failure,0,0,0,0,0
2950,M17809,Medium Variant (M),300.70,309.50,8.80,1470,48.70,7.497,21,1022.70,0,Healthy,No Failure,0,0,0,0,0
2951,M17810,Medium Variant (M),300.70,309.50,8.80,1445,46.40,7.021,24,1113.60,0,Healthy,No Failure,0,0,0,0,0
2952,L50131,Low Variant (L),300.70,309.50,8.80,1685,31.10,5.488,27,839.70,0,Healthy,No Failure,0,0,0,0,0
2953,H32366,High Variant (H),300.70,309.50,8.80,1667,30.50,5.324,29,884.50,0,Healthy,No Failure,0,0,0,0,0
2954,L50133,Low Variant (L),300.70,309.50,8.80,1578,35.40,5.850,34,1203.60,0,Healthy,No Failure,0,0,0,0,0
